time,symbol,signal,lot,price,sl,tp,prob,retcode,order,result,pnl
2026-03-12T21:53:52.836439+00:00,EURUSD,buy,2.98,1.1513,1.150980327046788,1.1517795094298182,0.5627,10009,2560,WIN,132.61
2026-03-13T09:55:03.748776+00:00,EURCHF,buy,1.0,0.90295,0.9025556220770858,0.9036072965381904,0.537,10009,4646,LOSS,-53.05
2026-03-13T10:36:30.181957+00:00,EURUSD,buy,1.0,1.14569,1.144938392522515,1.146942679129142,0.5506,10009,4670,WIN,121.5
2026-03-13T11:15:37.029613+00:00,EURUSD,buy,1.0,1.14556,1.1446461547422997,1.1470830754295007,0.5517,10009,4696,WIN,148.5
2026-03-13T11:27:37.355940+00:00,EURCHF,sell,1.0,0.90314,0.9035054368813094,0.9025309385311512,0.5511,10009,4699,WIN,74.01
2026-03-13T11:30:13.194885+00:00,EURUSD,buy,1.0,1.14659,1.145692840549866,1.1480852657502236,0.5597,10009,4702,WIN,146.5
2026-03-13T11:47:25.702225+00:00,EURUSD,buy,1.0,1.14658,1.1456443775935228,1.148139370677462,0.5616,10009,4708,WIN,152.5
2026-03-13T11:47:25.882387+00:00,GBPUSD,buy,0.86,1.32596,1.3247940930015658,1.3279031783307236,0.5596,10009,4709,WIN,163.83
2026-03-13T11:48:28.466719+00:00,GBPUSD,buy,0.86,1.32597,1.3248040930015657,1.3279131783307234,0.5586,10009,4710,WIN,163.83
2026-03-13T12:55:47.645814+00:00,EURUSD,sell,1.0,1.14814,1.1490956016081189,1.146547330653135,0.5601,10009,4879,,
2026-03-13T13:46:04.022513+00:00,GBPUSD,sell,0.95,1.32832,1.3294419783974094,1.3264500360043174,0.5565,10009,4984,,
2026-03-13T13:46:35.438990+00:00,GBPUSD,sell,0.94,1.32842,1.3295569783974095,1.3265250360043173,0.5521,10009,4994,,
